comment,link
Νικόλα έγραψες πάλι στις καρδιές μας.Ενας είσαι παλληκάρι μου.Ο καλύτερος τραγουδιστής της Ελλάδας.Φωναρα μας.!!!!!️️️️,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Αγάπη, έρωτας, απόγνωση, μίσος, ζήλια, προσμονή, απογοήτευση, καψούρα, δάκρυ, χαρά, γέλιο, αγανάκτηση. Το νόημα του τραγουδιού  καλοταξιδο ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Καταστρέψατε τα καλύτερα παιδιά! Κάηκα από την φωτιά σου και τώρα απλά περιμένω να αναγεννηθώ από τις στάχτες μου....,https://www.youtube.com/watch?v=b0z_dp5-luQ
" Έγραψες πάλι Νίκο ...Ύμνος ,τέλειο κομμάτι  το αγαπάμε από όταν ακούσαμε λίγο το ρεφρέν και το βίντεο κλιπ τέλειο!!! Είσαι υπέροχος,συνέχισε έτσι!!! ΜΠΡΑΒΟ ΣΕ ΟΛΟΥΣ...",https://www.youtube.com/watch?v=b0z_dp5-luQ
Την πρώτη φορά που το ακουσα θυμήθηκα μια παλιά αγαπη που μου άφησε σημάδια από το παρελθόν …τι να πεις για αυτόν τον ύμνο …σε κάνει να θυμασαι οτι αγάπησες και οτι μίσησες …  «στην απομόνωση που μ άφησες Εσυ»,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Ich liebe deine Lieder Grüße aus Deutschland, ich bin selber halb Grieche und halb Deutsch aber im Herzen ganz Grieche .

Ich liebe dieses Land",https://www.youtube.com/watch?v=b0z_dp5-luQ
Τελικά τα τραγούδια σε επιλέγουν Νίκο! Το ζεϊμπέκικο της δεκαετίας! Συγχαρητήρια σε όλους ,https://www.youtube.com/watch?v=b0z_dp5-luQ
επιτέλους τραγούδι για τον κανονικό Οικονομόπουλο που μεγαλώσαμε και μάθαμε καψούρα λαϊκή με λόγια ψυχής είσαι τεράστιος κορυφαίος όλων ,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Πολύ ωραία τραγούδι 
Για αυτό η αγάπη έχει πολλά να μας μάθει 
Για  αυτό πρέπει να αγαπάμε με όλη μάς την ψυχή ",https://www.youtube.com/watch?v=b0z_dp5-luQ
Ζω και πεθαίνω να το ακούω….ποτε τραγουδιστής δεν ταυτίστηκε τόσο πολύ με όλους εμάς…,https://www.youtube.com/watch?v=b0z_dp5-luQ
Το λεω εδώ και χρονια ! Η συνεχεια του Αρχοντα Νοταρου ειναι αυτο το παιδι! Δωστε του κι αλλα τετοια κομματια να γραψει Ιστορια ! Μπραβο Νικολα !,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Με τη ψυχή μου δεν τα βρήκα πουθενά στέγνωσα θάλασσες και γκρέμισα βουνά...
Νίκο μας  ψυχολογε της καρδιάς μας σε ευχαριστούμε για ακόμα μια φορά για αυτή την ερμηνεία τι λόγια ... συγχαρητήρια σε όλη την ομάδα...",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Γεια σου Νίκο! Είσαι υπέροχος! Αγγίζεις της καρδιές μας με αυτά που βγάζεις! 
🇬🇷 Ο Θεός να σε προστατεύει πάντα ρε μάστορα της μουσικής μας! Είσαι η καμάρα μας! Φιλιά από Γερμανία! ",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Браво, Никос.Прекеасна песен! Прекрасно изпълнение!! Уникален!!!",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Το περιμέναμε πως κ πως.
Επιτέλους ένα τραγούδι που αξίζει πολλά!
Συγχαρητήρια σε όλους!",https://www.youtube.com/watch?v=b0z_dp5-luQ
Συγχαρητήρια και στους δημιουργούς και στον ερμηνευτή .,https://www.youtube.com/watch?v=b0z_dp5-luQ
"Έδωσα ολο μου το είναι στην αυτοθυσία...
Για να γινω τελικά θυσία..
Ο έκπτωτος άγγελος που για πάντα θα ""κουβαλά"" την καρδιά σου.",https://www.youtube.com/watch?v=b0z_dp5-luQ
"Αυτή σημαίνει ΕΠΙΤΥΧΙΑ!!! 
Τραγουδι νεογέννητο μιας βδομαδας.. Και το ξέρουμε όλοι απέξω στίχο στίχο.. Νίκο, είσαι τεράστιος... Είμαστε όλοι κάτω απ την σκιά σου με σεβασμό.. 🫠🩵",https://www.youtube.com/watch?v=b0z_dp5-luQ
